Site;Domaine;Activité/Equipement;Type;Propriétaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Almadies;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Bignona;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Fatick;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Kaffrine;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Kédougou;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Kolda;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Louga;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Mbour;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Rufisque;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Sea plaza;Commercial;Bâtiment;2;;Forte consommation d'eau;A;Surconsommation d'eau;Ressources naturelles;;Réparation des dysfonctionnements relevés par des prestataires locauxSensibilisation sur les gestes verts par DRH (Affiches et pop up démarrage ordi);Détectif;Manuelle;;;;;;;1;1;1;3
