SITE;Domaine d'activité;Thème de risque;Activité/ Equipement;Type(Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Véhicules;2;;Absence d'airbag dans les véhicules;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Le cahier de charge inclue la mise à disposition de véhicule avec airbagSystématisation de l'acquisition des véhicules d'exploitation qui disposent d'airbag;Preventif;Manuelle;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Batiment;2;;Absence de détecteurs d’incendie ou détecteurs HS ;A;Risque d'incendie;Environnement immédiat;Brûlures;Pour l'accueil de St Louis, seul le local du HUB est doté de détecteur d'incendiePour le site de Guediawaye, il existe des détecteurs au niveau du siteUn entretien des détecteurs est mis en œuvre par le sous traitant;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention / Commercial;1;;Intervention en monôme ;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Mise à jour la fiche de poste des chefs CI pour tenir compte des risques liés à leur activité;Preventif;Manuelle;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Absence de port d'EPI;A;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé);Exsitence d'EPI mis à disposition des agents d'intervention;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Intervention;1;;Ambiance thermique froide (salles machines, travaux sur le terrain…);A;Risque d'hypothermie;Environnement immédiat;Coup de fraîcheur, engolure, rhumatisme, sécheresse de la peau, rhinite à répétition, malaise, syncope;Aucun bureau dans les salles techniquesDotation de blouses et de casquettes à tous les agents;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Installations électriques;1;;Boîtes électriques non couvertes;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Correction des anomalies sur les installations;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Installations électriques;1;;Boîtes électriques non couvertes;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Un prestataire prend en charge l'entretien de l'électricité (prise et lampes);Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Installations électriques;1;;Boîtes électriques non couvertes;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Un prestataire prend en charge l'entretien de l'électricité (prise et lampes);Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Installations électriques;1;;Câble de courant mal isolé ;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Refection des installations electriques pris en charge par des prestataires ( Solarcom et Sicotam);Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guediawaye;Intervention;;Climatiseurs;2;;Climatisation défectueuse;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;Contrat d'entretien et de maintenance de la climatisation avec Sahel Trading ;Preventif;Manuelle;;;;;;;1;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
