Site;Domaine;Activité/Equipement;Type;Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Siège;Toutes les activités;Organisation de manifestations;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;Sur le site;Blessure, évanouissement;"""Mise en place d'un comité d'accueil pour la gestion de fil d'attente pour éviter des bousculades

Présence de vigiles pour veiller au respect de l'ordre dans les accueils et formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Aménagement d'une issue de secours sur le site et mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).

Equipement de la médecine d'entreprise du Siège de fauteuils roulants pour l'évacuation des agents  ";Préventif;Manuelle;;;;;;;2;2;4;3
Technopole;Technique;Organisation de manifestations;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;Sur le site;Blessure, évanouissement;"""Mise en place d'un comité d'accueil pour la gestion de fil d'attente pour éviter des bousculades

Présence de vigiles pour veiller au respect de l'ordre dans les accueils et formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Aménagement d'une issue de secours sur le site et mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).

Equipement de la médecine d'entreprise de Technopole de fauteuils roulants pour l'évacuation des agents  ";Préventif;Manuelle;;;;;;;2;2;4;3
Medina;Technique et commercial;Organisation de manifestations;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;Sur le site;Blessure, évanouissement;"""Mise en place d'un comité d'accueil pour la gestion de fil d'attente pour éviter des bousculades

Présence de vigiles pour veiller au respect de l'ordre dans les accueils

Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).

Equipement de la médecine d'entreprise de Medina de fauteuils roulants pour l'évacuation des agents  ";Préventif;Manuelle;;;;;;;2;2;4;3
Agence Cheikh Anta Diop;;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;Accueil ou à l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Kaolack;;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;Accueil ou à l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Mbour;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Médina;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Parcelles;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence République;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Rufisque;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Saint-Louis;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Thiès;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Touba;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
Agence Ziguinchor;Commercial;Organisation de randonnée pedestre;1;;bousculades, asphyxie du fait du nombre important de personnes;A;Risque d'accident;A l'extérieur;Blessure, évanouissement;"
Formation des agents au secourisme pour assister les personnes lors des manifestations (à l'Accueil ou à l'extérieur)""

Mise en place d’un dispositif d’urgence (ambulance pour évacuer les participants si necessaire).
";Préventif;Manuelle;;;;;;;1;2;2;3
