Site;Activite;Activité/ Equipement;Type(Activite ou Equipement);Proprietaire;Aspects;Mode de fonctionnement;Risque;Elément de l'environnement;LIEU;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date  debut;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Immeuble Dieynaba;Toutes les activités;Toutes les activités;1;;Forte Consommation d'énergie ;A;Risque d'une surconsommation d'énergie;Ressources naturelles;;;"Communication et sensiblisation du personnel sur les gestes verts
Sensibilisation des vigiles à faire la ronde après les heures de descente pour éteindre les sources d'énergie et signaler les surconsommations en cas d'oubli";preventif;manuelle;;;;;;;2;1;2;3
Immeuble Dieynaba;Matériel informatique;Matériel informatique;2;;Rejets de consommables informatiques;N;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Application de la procédure de gestion des déchets (déchets consommables informatiques retournés au CMD avant nouvelle livraison);preventif;manuelle;;;;;;;1;1;1;3
Immeuble Dieynaba;Intervention;Intervention;1;;Chute de câbles;N;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant leur récupération par la DAL pour traitement ou transfert au magasin de Rufisque;preventif;manuelle;;;;;;;2;2;4;3
Immeuble Dieynaba;Mobilier ;Mobilier ;2;;Matériel et mobiliers réformés laissé sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant env oi vers Médina pour vente aux agents ou aux clients ciblés et ou transfert au magasin de Rufisque;preventif;manuelle;Procéder au désencombrement du site de matériel déposé ou hors d'usage ;Chef d'établissement;;31/12/2016;;Non échu;3;1;3;3
Immeuble Dieynaba;Groupe électrogène;Groupe électrogène;2;;Bruit du groupe électrogène;N;Nuisance sonore;Etres humains, Faune;;;"GE installé dans la cour loin des bureaux occupés par les agents du site
GE capoté";preventif;manuelle;;;;;;;2;2;4;3
Immeuble Dieynaba;Groupe électrogène;Groupe électrogène;2;;Déversement, fuite  de gasoil;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;"Livraison du carburant pour l'alimentation des GE par la DAL
Supervision par le vigile";preventif;manuelle;;;;;;;2;2;4;3
Immeuble Dieynaba;Groupe électrogène;Groupe électrogène;2;;Cartouche, huile morte laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Procédure des gestion des déchets, récupération des cartouches par le fournisseur, entretien conduit par le vigile, maintenance du GE par un prestataire;preventif;manuelle;;;;;;;1;2;2;3
Immeuble Dieynaba;Toutes les activités;Toutes les activités;1;;Forte consommation de papier;N;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;"Communication et sensiblisation du personnel sur les gestes verts

Sensibilisation des agents à partager les documents par mail au lieu de les imprimer";preventif;manuelle;;;Prévention;;;;2;2;4;3
Immeuble Dieynaba;Groupe électrogène;Groupe électrogène;2;;Dégagement de fumée du groupe électrogène;N;Pollution de l'air;Air;;;Cheminée du GE posée en hauteur respectivement aux normes;preventif;manuelle;;;;;;;2;2;4;3
Immeuble Dieynaba;Toutes les activités;Toutes les activités;1;;Forte consommation d'eau;N;Risque d'une surconsommation d'eau;Ressources naturelles;;;"Communication et sensiblisation du personnel sur les gestes verts
Demande au vigile de fermer la vanne en cas de fuite dans un endroit inaccessible hors des heures de bureau
Ronde des vigiles pour s'assurer que tous les robinets sont fermés et les clims après les heures de bureau";preventif;manuelle;;;;;;;2;1;2;3
Immeuble Dieynaba;;Bâtiment;;;Eaux de pluie stagnantes;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;;;;Etudier la mise en place d'une canalisation à l'entrée de Dieynaba pour éviter la stagnation des eaux de pluie;DAL/IMMO;prévention;31/12/2016;;Non échu;2;2;4;1
