Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Ressources Humaines;Images;Juridique;Commercial;Criticité;Maturité CI
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de divulgation d’informations confidentielles ;Diffusion non contrôlée des déclarations d'intérêts des agents;;;;;;;;"Conservation des déclarations dans une armoire qui ferme à clé dans le bureau de ARQ/RCI
Diffusion limitée à DRH et DRJ";Préventif;Manuelle;1;3;2;2;4;2;4;3;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de divulgation d’informations confidentielles ;Diffusion non contrôlée de la base risques;;;;;;;;Marquage des documentsLimitation de la diffusion aux propriétaires de risques ,aux responsables opérationnels des processus et aux auditeurs;Préventif;Manuelle;1;3;2;2;4;2;4;3;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Déploiement d'une démarche de maîtrise des risques inadaptée;;;;;;;;Audit des processus par ARQ/AI;Détectif;Manuelle;1;2;2;2;2;2;2;2;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Déploiement d'une démarche de maîtrise des risques inadaptée;;;;;;;;Accompagnement par un cabinet sur la méthodologie d'identification et d'évaluation des risques;Préventif;Manuelle;1;2;2;2;2;2;2;2;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Déploiement d'une démarche de maîtrise des risques inadaptée;;;;;;;;Formalisation du processus MR (FIP, Procédures, modes opératoires);Préventif;Manuelle;1;2;2;2;2;2;2;2;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Déficit de veille sur les risques potentiels (ex fraude);Exploiter systématiquement les résultats de la veille sur les risques pour la mise à jour de la cartographie des risques;Almamy Lamine DEMBA ;almamy.l.demba@orange-sonatel.com;;31/12/2018;;Non échu; - Mise en place d'une veille risques qui a conduit à partir de 2016, à la diffusion trimestrielle d’un bulletin de veille risques, 1er bulletion (T1 2016) diffusé - Elaboration d'une cartographie détaillée du risque de fraude  ;Préventif;Manuelle;2;2;2;2;2;2;2;4;2
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Analyse non approfondie des causes d’incidents;Systématiser l'exploitation des tableaux de bord risques pour mettre à jour la cartographie des risques;Almamy Lamine DEMBA ;almamy.l.demba@orange-sonatel.com;;31/12/2018;;Non échu;"Organisation de GAQ par DMI
Suivi des PA pour non atteinte des objectifs des indicateurs au tableau de bord risques";Préventif;Manuelle;2;2;2;2;2;2;2;4;2
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Analyse non approfondie des causes d’incidents;Obtenir systématiquement les RAI des incidents majeurs pour mise à jur de la cartographie des risques;Almamy Lamine DEMBA ;almamy.l.demba@orange-sonatel.com;;;;;;;;2;2;2;2;2;2;2;4;2
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Indisponibilité des compétences pour identifier les risques ITN;Support de l'Auditeur Interne ITN pour approfondir l'analyse des risques ITN;Almamy Lamine DEMBA ;almamy.l.demba@orange-sonatel.com;;31/12/2018;;Non échu;Identification des risques avec les propriétaires de processus ( Directeurs) et les responsables opérationnels de processus;Préventif;Manuelle;2;2;2;2;2;2;2;4;2
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Non exhaustivité des risques identifiés;Mise à jour régulière de la cartographie des risques en fonction des incidents, des rapports d'audit, des résultats de la veille, des tableaux de bord risques …;Almamy Lamine DEMBA ;almamy.l.demba@orange-sonatel.com;;31/12/2018;;Non échu;"Formalisation du processus d'identification des risques:- Identification des risques sur la base de la fiche de poste et des objectifs du propriétatire de risques pour éviter l'omission d'une activité- Les réferentiels bases Mazars et FTservent d'aide mémoire
- Mise à jour de la base après remontées des risques par l’audit interne
 - Cartographie des risques de tous les processus (entités) sur la base de l'organigramme et de la cartographie des processus 
 - Suivi de l'évolution organisationnelle via Intracom (Notes de réorganisation) pour prise en compte 
 - Réception de DMI de la cartographie des processus 
 - Mise en place d'une veille risques
";Préventif;Manuelle;2;2;2;2;2;2;2;4;2
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Mauvaise identification des interlocuteurs clés;;;;;;;;Identification des risques avec les propriétaires de processus ( Directeurs) et les responsables opérationnels de processus;Préventif;Manuelle;1;2;2;2;2;2;2;2;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Mauvaise qualité des évaluations;;;;;;;;Formulation concise des risques selon le tryptique : cause - manifestation - impactIdentification des critères  et de seuils par domaines d'impactAssistance des évaluateurs lors des séances d'autoévaluation pour mieux affiner l'évaluationMise en place d'une démarche d'évaluation quantitative des risques;Préventif;Manuelle;1;2;2;2;2;2;2;2;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Mauvaise qualité des évaluations;;;;;;;;Cartographie des risques de tous les processus (entités) sur la base de l'organigramme et de la cartographie des processus Suivi de l'évolution organisationnelle via Intracom (Notes de réorganisation) pour prise en compte Réception de DMI de la cartographie des processus ;Préventif;Manuelle;1;2;2;2;2;2;2;2;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Mauvaise qualité des évaluations;;;;;;;; - Remontée systématique par AI des nouveaux risques identifiés lors des missions- Séance d'autoévaluation des risques annuelle avec les propriétaires de risques permet l'identification de nouveaux risques d'une période à une autrePiste d' amélioration : Se baser sur les indicateurs pour l’évaluation;Préventif;Manuelle;1;2;2;2;2;2;2;2;3
Manager les Risques, l'Audit et les Enquêtes;Manager les Risques, l'Audit et les Enquêtes;Manager les risques;SNT ARQ \ RCI;Assurer le support à la maîtrise des risques;Risque de non maîtrise des risques;Mauvaise qualité des évaluations;;;;;;;;Validation des cartographies des risques par les Directeurs et le Comité Risques;Préventif;Manuelle;1;2;2;2;2;2;2;2;3
